id	Всего сообщений	Сообщений ученика	Сообщений учителя
284946391	2	1	1
367782524	12	6	6
402101775	4	2	2
195906013	5	3	2
372104765	15	9	6
174806390	8	3	5
508123096	11	7	4
391787146	7	4	3
81277951	12	6	6
465727328	15	4	11
159838878	8	6	2
217036439	4	2	2
346247878	6	3	3
400416369	23	9	14
247763856	43	12	31
198676759	3	2	1
255534232	7	5	2
497281507	9	0	0
215650709	10	5	5
385766994	10	5	5
239242637	14	7	7
134985713	9	6	3
135497512	5	3	2
143451851	6	5	1
278522976	21	12	9
372638490	24	12	12
151743865	17	7	10
74478134	108	49	59
180682201	3	1	2
266471879	7	5	2
252575019	13	7	6
528962836	9	6	3
239186216	23	8	15
325341106	7	4	3
150586880	20	11	9
141966920	6	5	1
310002547	23	11	12
398282209	11	8	3
434890603	9	5	4
421088171	11	7	4
165702723	11	7	4
427170761	6	5	1
311417856	6	5	1
181108367	4	2	2
153252947	88	34	54
106582332	4	2	2
498648965	6	5	1
163277119	12	6	6
170581781	17	10	7
245473593	9	4	5
440007170	10	4	6
365450429	10	5	5
232884737	15	9	6
148902996	7	4	3
494167818	11	8	3
437450350	7	5	2
178464190	18	10	8
203063442	15	7	8
157738983	14	7	7
423859799	14	9	5
161497154	11	6	5
197524246	9	6	3
184620764	8	5	3
358976514	5	2	3
139449095	5	3	2
89295389	8	4	4
533210725	11	5	6
404439988	41	17	24
355482050	10	3	7
228871623	18	8	10
202091086	14	7	7
3602010	9	5	4
184538268	3	1	2
134654668	6	3	3
541105584	9	6	3
123151552	13	5	8
135245258	9	6	3
77966253	23	13	10
321620229	17	10	7
258714291	9	5	4
205642911	28	14	14
396635680	18	10	8
296765544	9	6	3
385206497	13	8	5
158134553	7	5	2
110865162	7	3	4
277711247	11	6	5
156013814	19	8	11
112318481	21	11	10
205251660	3	2	1
109558912	7	3	4
419827244	10	6	4
270150751	4	2	2
323670328	5	3	2
208685785	34	18	16
524616965	4	2	2
541760679	6	3	3
180774724	12	8	4
237649862	11	7	4
153610343	8	4	4
139339690	15	8	7
318227439	5	4	1
209420132	10	4	6
256232911	10	7	3
102679834	7	5	2
223672114	6	3	3
506639328	8	3	5
439550436	6	3	3
269693861	7	3	4
266473129	11	4	7
437743575	10	6	4
400633906	6	5	1
154831294	13	8	5
182475373	7	6	1
159800163	9	4	5
223095621	10	6	4
197700071	16	11	5
271763488	17	8	9
397821810	2	1	1
124968658	6	3	3
77379207	16	9	7
131898060	5	4	1
227296940	27	11	16
155016773	20	10	10
113342814	6	3	3
486130079	10	7	3
135950991	5	3	2
87560143	2	1	1
154600425	8	6	2
446022317	9	6	3
66937673	7	5	2
404527410	3	2	1
155029181	6	2	4
31631821	7	3	4
164886100	11	7	4
330976309	3	2	1
145001366	4	1	3
228793122	21	12	9
82281753	10	5	5
265903623	2	1	1
256865704	10	7	3
316310330	2	1	1
325636802	10	5	5
188248080	13	7	6
121624691	6	4	2
499969750	16	7	9
122716447	3	2	1
154530395	11	4	7
544952797	12	7	5
346181883	7	6	1
538950259	14	7	7
132242236	2	1	1
497533176	6	4	2
544794584	7	3	4
544776546	12	7	5
544763802	6	4	2
544735677	16	8	8
544590701	1	1	0
544549634	1	1	0
544473919	4	4	0
544218969	7	4	3
544095833	9	6	3
544027920	4	4	0
543954702	8	6	2
543879545	5	4	1
543729450	4	4	0
543725825	3	3	0
543686386	9	5	4
543485631	4	4	0
543381441	4	4	0
543341184	16	11	5
542926037	4	4	0
542866165	6	5	1
542784711	4	4	0
542508366	4	4	0
542014195	4	4	0
541645408	17	11	6
541528198	3	3	0
541364344	14	10	4
540630006	5	4	1
540316612	16	9	7
540132091	4	4	0
539962653	13	9	4
539855071	3	2	1
539287118	4	4	0
539243211	73	45	28
539201716	4	4	0
539167829	4	4	0
538270935	13	7	6
537920759	6	5	1
537401268	9	6	3
537336815	1	1	0
537252955	9	6	3
537142238	15	9	6
536641100	4	4	0
536596928	1	1	0
536152736	6	5	1
535979158	20	8	12
535658047	4	4	0
535423277	21	9	12
535337547	1	1	0
534516328	4	4	0
533799454	4	4	0
533166295	12	7	5
531935939	4	4	0
531921328	4	4	0
531791429	4	4	0
530905230	7	5	2
530733760	4	4	0
530347148	4	4	0
529846250	1	1	0
529370191	7	6	1
528305376	4	4	0
527988015	4	4	0
527598645	25	12	13
527569256	4	4	0
527191177	3	3	0
526913261	4	4	0
526730043	4	4	0
526643024	4	4	0
526440713	1	1	0
526427934	7	4	3
525232063	5	3	2
524906952	4	4	0
524790931	1	1	0
524643768	6	5	1
524375954	7	5	2
523966364	81	39	42
523956156	4	3	1
523647146	3	3	0
522372788	4	4	0
522368102	6	5	1
522069624	60	30	30
522058664	3	3	0
521290134	8	5	3
521278810	93	38	55
521161030	3	3	0
520840338	4	4	0
520494787	1	1	0
520434872	8	6	2
519864382	4	4	0
519362623	4	4	0
519355974	4	2	2
517393217	11	5	6
517360239	4	4	0
517308534	3	3	0
517262357	9	5	4
517233167	8	6	2
517106462	4	4	0
516629011	4	4	0
516414262	4	4	0
516157558	3	3	0
515547655	1	1	0
515271593	4	4	0
514754269	3	3	0
515547655	1	1	0
515271593	4	4	0
514754269	3	3	0
514427753	21	10	11
513977156	4	4	0
513851036	3	3	0
513725443	10	7	3
513160581	4	4	0
512787664	1	1	0
512731349	4	4	0
512472491	4	4	0
512303780	4	4	0
511970927	4	4	0
511277792	6	4	2
511037349	4	4	0
511006487	3	2	1
510517008	4	4	0
509772720	7	5	2
509524435	12	7	5
509372168	13	8	5
509356405	4	4	0
509284296	4	4	0
508967119	1	1	0
508894889	8	6	2
508869876	4	4	0
508535119	1	1	0
508515329	4	4	0
508384130	12	7	5
508317383	4	4	0
508260275	4	4	0
508212280	3	3	0
508116053	4	4	0
508076918	7	5	2
507952337	3	3	0
507754641	4	3	1
507656181	5	3	2
507518612	1	1	0
507284459	3	3	0
506660540	3	3	0
506343997	3	2	1
506282199	4	4	0
506144490	13	8	5
505877598	6	5	1
505868329	4	4	0
505799540	7	5	2
505699627	4	4	0
505665000	4	4	0
505581467	12	7	5
505302345	4	4	0
505101849	4	4	0
504894325	3	3	0
504087732	3	3	0
503915151	4	4	0
503893507	1	1	0
503875834	10	6	4
503768723	1	1	0
503703501	7	5	2
503694668	8	6	2
503589275	42	26	16
503544016	4	4	0
503431955	4	4	0
503307258	18	10	8
503258435	4	4	0
503157129	4	4	0
503125428	15	9	6
503121257	4	4	0
503001012	15	8	7
502661527	4	4	0
502224543	4	4	0
502170820	10	6	4
502129626	1	1	0
501589364	13	7	6
501119893	8	6	2
501020131	4	4	0
500599936	4	4	0
500450969	4	0	0
500349958	4	4	0
500188236	3	3	0
500145360	4	4	0
500070846	9	6	3
499721801	4	4	0
499666748	18	9	9
499539714	3	2	1
499427892	4	4	0
499379498	4	4	0
499267879	3	3	0
498629927	8	6	2
498557848	3	3	0
498540943	1	1	0
498521275	41	0	0
162389775	6	3	3
498302219	4	4	0
498104301	9	7	2
498031791	4	4	0
498023994	4	4	0
498004793	7	5	2
497700761	1	1	0
497481728	4	4	0
497297588	4	4	0
497142238	4	4	0
497090181	3	3	0
497052424	11	6	5
496917161	9	6	3
496893936	4	4	0
496696814	4	4	0
496685164	9	6	3
496508135	4	4	0
496488740	1	1	0
496264273	6	4	2
495884755	6	5	1
495422023	7	5	2
495091883	4	4	0
494826927	4	4	0
494692271	1	1	0
494405403	6	5	1
494232827	4	4	0
494042693	4	4	0
493366609	4	4	0
493087540	15	9	6
492973265	4	4	0
492953186	8	6	2
492889724	4	4	0
492387751	4	4	0
492207400	4	4	0
492162505	3	3	0
492136273	22	12	10
491685612	8	6	2
491641751	4	4	0
491595185	6	4	2
491557628	4	4	0
491543192	5	4	1
491219727	5	4	1
491068517	1	1	0
490768270	13	8	5
490472604	4	4	0
490383953	31	14	17
490166274	12	8	4
489394301	7	6	1
489318634	4	4	0
489164062	6	5	1
488670925	12	7	5
488523163	7	5	2
488422875	6	5	1
488403154	4	4	0
487884306	4	4	0
487648390	4	4	0
487485665	4	4	0
487145369	8	5	3
487102247	3	3	0
486774353	5	4	1
486356436	12	7	5
486223943	6	3	3
486157138	4	4	0
485983309	10	7	3
485923360	10	6	4
485064390	3	3	0
485049982	4	4	0
484837714	5	3	2
484485234	3	3	0
484443541	4	4	0
484168203	3	3	0
483999948	4	4	0
483970055	10	7	3
483557503	4	4	0
483552770	4	4	0
483504581	15	9	6
483398296	4	4	0
483195829	6	5	1
482344612	6	5	1
482185315	12	7	5
482060754	6	5	1
481189082	11	5	6
481100516	1	1	0
480940778	11	5	6
480512518	4	4	0
480252030	7	5	2
479175187	1	1	0
479158865	10	7	3
479099061	4	4	0
478943229	4	4	0
478745404	4	4	0
478604648	13	8	5
478585933	4	4	0
477783904	4	4	0
477211363	3	3	0
477058239	11	6	5
477050876	12	8	4
476893229	12	7	5
475979973	3	3	0
475366021	4	4	0
475356922	4	4	0
475040040	18	8	10
474658715	16	7	9
473858210	22	12	10
473181982	4	4	0
472902007	12	6	6
472569323	4	4	0
472337147	1	1	0
471794654	8	5	3
471236350	4	4	0
471008813	4	4	0
470920452	4	4	0
470797100	4	4	0
470525982	11	7	4
470286345	1	1	0
469992141	1	1	0
469600198	11	7	4
469161602	21	7	14
468245122	4	4	0
467898268	4	4	0
467888316	3	3	0
467506533	1	1	0
467348687	10	5	5
467174170	4	4	0
466753485	4	4	0
466430201	3	3	0
465797548	4	4	0
465593666	6	4	2
465550608	3	3	0
465359308	1	1	0
465356361	3	3	0
465166913	6	5	1
465121904	4	4	0
465078993	6	5	1
464135368	4	4	0
463946620	4	4	0
463820156	6	5	1
463352333	3	3	0
462668504	11	7	4
462664283	16	9	7
461975054	7	5	2
461775536	11	6	5
461465875	4	4	0
461402247	6	5	1
461293362	9	5	4
461094266	4	4	0
461055515	6	5	1
460926799	4	3	1
460693905	8	3	5
460299213	4	4	0
458933966	6	5	1
458237190	7	5	2
457581878	10	7	3
457355293	4	4	0
457039160	4	4	0
456468182	3	0	0
456036903	9	6	3
455905664	6	5	1
455792937	4	4	0
455114547	4	4	0
454947637	7	5	2
454656336	4	4	0
454639673	4	4	0
454490160	18	11	7
454210271	4	4	0
453987900	4	4	0
453864351	19	9	10
452876801	4	4	0
452194097	3	3	0
451886090	9	6	3
451470778	4	4	0
451459040	3	3	0
448945519	5	4	1
448707762	7	5	2
448378590	4	4	0
447610276	4	4	0
447379623	4	4	0
447304081	3	3	0
447239041	8	5	3
447092186	4	4	0
446976865	7	5	2
446818796	6	3	3
446780969	1	1	0
446720124	4	4	0
446532794	4	4	0
446165573	1	1	0
445933199	1	1	0
445615637	4	4	0
445453276	4	4	0
444874516	1	1	0
444645380	1	0	0
444238559	4	4	0
444100744	6	5	1
443985677	6	5	1
443971011	4	4	0
443950373	1	1	0
443623920	1	1	0
443285484	5	4	1
443114798	3	3	0
442956948	8	6	2
442785580	3	3	0
442573647	12	6	6
442285920	3	2	1
442206457	1	1	0
441970695	3	3	0
441876234	4	4	0
441768123	4	4	0
441734747	1	1	0
441542499	5	4	1
441428037	8	3	5
440298082	4	4	0
439757670	4	4	0
439735146	3	3	0
439575586	4	4	0
439571356	1	1	0
439255652	12	9	3
438945372	1	1	0
438601355	3	3	0
438482093	4	4	0
437996570	4	4	0
437645760	1	1	0
437427322	5	4	1
436798348	4	4	0
436666168	6	5	1
436430557	4	2	2
436398679	14	7	7
436313956	6	5	1
436009598	3	3	0
435898170	7	3	4
435756256	9	7	2
435434367	4	4	0
435403735	4	4	0
435224244	10	7	3
435214571	23	14	9
435189010	3	3	0
434617830	6	5	1
434468247	11	7	4
434053252	4	4	0
433979379	6	5	1
433540496	1	1	0
433305679	1	1	0
433094741	12	8	4
432553095	6	5	1
432502054	3	3	0
432090366	1	1	0
432011946	3	3	0
431996517	4	4	0
431891681	3	3	0
431647955	3	3	0
431373872	6	5	1
431335765	1	1	0
431268557	4	4	0
431042964	4	4	0
431039458	4	4	0
430873395	4	4	0
430721578	5	3	2
430442326	4	0	0
430048976	3	3	0
429876923	10	5	5
429513930	4	4	0
429367045	4	4	0
428733359	5	3	2
427393063	6	5	1
427282257	4	4	0
426675105	1	1	0
426561538	1	1	0
425049059	8	6	2
424556525	15	7	8
424222580	6	5	1
424027015	4	4	0
423044801	3	3	0
421891667	1	1	0
421431758	4	4	0
421280193	6	4	2
420854423	4	4	0
420669387	3	3	0
420646324	7	4	3
419862412	22	9	13
419496332	13	7	6
418886614	7	5	2
417451224	3	3	0
416308218	4	4	0
415970809	6	5	1
415758374	8	5	3
414861683	5	4	1
414694214	4	4	0
414411920	9	5	4
414250388	1	1	0
413536653	20	11	9
413502949	7	0	0
413355004	1	1	0
413302942	4	4	0
413147154	4	4	0
413053498	3	3	0
412480211	9	6	3
412256870	9	6	3
412166034	1	1	0
411664294	3	3	0
411662588	10	0	0
411459806	4	4	0
411079985	3	3	0
410715927	6	5	1
410307588	9	6	3
410205510	1	1	0
410188819	4	4	0
410005202	6	5	1
409828227	4	4	0
409658912	4	4	0
409441920	3	3	0
409108133	4	4	0
409108133	4	4	0
408809476	4	4	0
408404214	4	4	0
408193834	12	8	4
407904256	4	4	0
407810011	6	5	1
407520076	4	4	0
406776426	3	3	0
406495602	7	5	2
406149093	4	4	0
406137366	4	4	0
405920510	7	5	2
405828351	3	3	0
405253759	7	5	2
405090527	4	4	0
404931574	8	6	2
404471430	4	4	0
404243242	4	4	0
404129348	4	4	0
404079470	5	4	1
403513776	8	6	2
403403458	5	4	1
403321473	4	4	0
402882199	18	9	9
402134180	4	4	0
402074941	4	4	0
401352669	4	4	0
401054118	4	4	0
400989122	6	5	1
400476880	3	3	0
399849349	4	4	0
399708979	4	4	0
399598797	13	7	6
399375958	7	5	2
399264545	11	8	3
399228897	3	3	0
399128339	16	8	8
399052033	11	4	7
398941795	4	4	0
398802784	27	12	15
398460645	8	5	3
397866118	15	6	9
397772589	3	3	0
397652619	4	4	0
397499177	19	11	8
397156426	4	4	0
397099108	13	8	5
396992623	3	3	0
396968603	8	5	3
396358983	17	8	9
396165579	9	7	2
396000532	12	6	6
395460748	1	1	0
395182734	1	1	0
394768051	10	6	4
394616889	1	1	0
394463812	13	6	7
394262444	3	2	1
393914343	4	4	0
393707883	21	10	11
393533043	3	3	0
393453214	12	4	8
393399988	7	5	2
393076975	4	4	0
392758391	8	0	0
392226635	4	4	0
392007062	3	3	0
391840806	4	4	0
391438178	4	4	0
391323993	19	10	9
391150045	10	7	3
390967854	3	3	0
390591693	5	4	1
390573289	11	6	5
390419674	11	7	4
390065375	46	18	28
389663140	8	5	3
389389365	1	1	0
388982742	16	9	7
388884893	4	4	0
388852590	1	1	0
388817835	4	4	0
388787231	12	7	5
388580614	4	4	0
387866051	3	2	1
387254112	4	4	0
387215661	1	1	0
386098036	8	6	2
385991878	7	5	2
385615160	1	1	0
384753450	4	4	0
384553360	4	4	0
384353355	3	3	0
384054257	4	4	0
383325480	4	4	0
383306059	13	8	5
383127236	4	4	0
382958415	6	5	1
382874075	16	9	7
382793134	3	3	0
382729414	40	13	27
382473625	4	4	0
382445826	4	4	0
382383687	4	4	0
382237928	7	5	2
382119555	3	3	0
381784704	1	1	0
381649810	11	8	3
381463186	4	4	0
381355139	3	3	0
380835091	8	6	2
380700505	1	1	0
380681865	7	4	3
380458690	4	4	0
380164916	9	5	4
379703183	4	4	0
379633387	4	4	0
379520537	4	4	0
379358361	3	3	0
378887980	3	3	0
378877879	6	5	1
378796401	10	6	4
378702582	4	4	0
378584885	9	6	3
378519881	12	7	5
378309819	7	5	2
378280179	4	4	0
377849695	4	4	0
377584071	9	7	2
377343226	8	5	3
376871674	3	3	0
376704596	8	6	2
376532826	4	4	0
376449881	1	1	0
376365980	4	4	0
376287566	4	4	0
376066382	6	5	1
376049148	8	5	3
376048395	4	4	0
375979269	4	4	0
375970092	4	4	0
375834227	3	3	0
375273111	4	2	2
374605870	3	3	0
374150167	4	4	0
374047429	9	6	3
374018896	12	7	5
373716188	4	4	0
373683584	4	4	0
373247848	4	4	0
373018122	4	4	0
372826356	3	3	0
372654202	11	7	4
372649262	4	4	0
372459843	14	9	5
372344886	13	7	6
372268139	9	6	3
372256077	8	6	2
372219544	12	5	7
372177676	4	4	0
372106694	4	4	0
371767513	6	5	1
371294198	3	3	0
370950356	4	4	0
370589176	4	4	0
370405407	6	5	1
370219223	1	1	0
369538245	4	4	0
369472752	6	5	1
369280203	16	9	7
368375795	3	3	0
368336679	8	6	2
368119031	6	5	1
367848099	8	4	4
367598216	4	4	0
367479431	7	5	2
367013889	6	5	1
366987672	61	23	38
366884496	4	4	0
366597196	1	1	0
366590467	6	5	1
366290515	4	4	0
366270704	4	4	0
366228961	11	6	5
366028187	10	7	3
365573051	4	4	0
365534889	4	4	0
365226129	6	5	1
364908696	4	4	0
364739246	36	15	21
364433945	14	7	7
364365485	1	1	0
364322157	3	3	0
364145294	19	10	9
364096957	4	4	0
363912642	4	4	0
363785350	1	1	0
363591630	3	3	0
363507401	4	4	0
363501973	7	4	3
363236916	3	3	0
363160801	10	6	4
363160745	4	4	0
362900909	4	4	0
362834238	4	4	0
362795250	4	4	0
362002153	4	4	0
361756202	3	3	0
361691792	4	4	0
361488710	4	4	0
361104044	4	4	0
360865891	1	1	0
360819236	6	5	1
360748987	4	4	0
360748661	1	1	0
360563176	4	4	0
360550838	4	4	0
360404899	6	5	1
360067460	3	3	0
359731268	3	3	0
359343310	8	5	3
359337210	8	6	2
359336997	6	5	1
359180054	3	3	0
359130529	1	1	0
359039922	8	6	2
358755158	1	1	0
358551901	4	4	0
358436874	9	6	3
358169909	3	3	0
357682272	14	7	7
357490056	22	9	13
356688276	2	2	0
356517851	10	5	5
356086737	7	3	4
355934060	4	4	0
355301373	4	4	0
355217659	4	4	0
354540211	9	6	3
354209751	10	7	3
354190355	10	6	4
353970410	3	2	1
353779556	4	4	0
353707140	16	9	7
353686535	4	4	0
353447596	8	6	2
353399790	4	4	0
353371409	4	4	0
353336580	6	5	1
353315583	4	4	0
352419040	27	11	16
352371946	4	4	0
351863355	4	4	0
351132434	1	1	0
350940670	26	14	12
350789900	4	3	1
350782441	4	4	0
350321982	4	4	0
349903273	3	3	0
349788855	11	6	5
349639447	17	11	6
349620614	1	1	0
349185870	29	14	15
349175678	3	3	0
348909127	4	4	0
348809745	1	1	0
348734394	4	4	0
348508457	4	4	0
348404290	4	4	0
348388791	3	3	0
347694568	4	4	0
347302999	4	4	0
347136627	52	22	30
346950294	11	5	6
346562099	6	5	1
346143374	4	4	0
346045222	3	3	0
346019820	7	5	2
345996385	3	3	0
345789611	7	5	2
345660395	4	4	0
345498607	7	5	2
345485384	13	4	9
345323578	1	1	0
343403224	3	3	0
343397371	17	10	7
343346868	10	7	3
343218834	1	1	0
343036196	4	4	0
342894015	3	3	0
342660875	4	4	0
342622078	7	5	2
342580698	4	4	0
342194469	3	3	0
342171425	4	4	0
342123958	4	4	0
342101028	7	5	2
341779203	25	11	14
341406849	4	4	0
341022840	4	4	0
340713001	4	4	0
340605772	4	4	0
340555423	4	4	0
339201016	6	3	3
339173577	7	5	2
338864861	4	4	0
338826203	6	5	1
338746509	4	4	0
338655320	3	3	0
338451325	12	8	4
338429807	3	3	0
338363750	10	6	4
338358095	4	4	0
338013661	4	4	0
337576340	4	4	0
337242029	4	4	0
337046225	4	4	0
337038428	9	6	3
337031402	4	4	0
336784195	36	12	24
336726601	4	4	0
336598965	4	4	0
336565044	4	4	0
336271241	3	3	0
336099576	1	1	0
335947315	4	4	0
335424609	4	4	0
335332437	4	4	0
335325605	9	6	3
334800879	4	4	0
334080564	9	6	3
334020852	4	4	0
333671146	7	5	2
333656747	4	4	0
333362480	4	4	0
333354129	1	1	0
333348142	4	4	0
333045527	13	0	0
332992380	4	4	0
332693558	4	4	0
331952350	4	4	0
331612683	3	3	0
331194348	40	17	23
330999625	4	4	0
330971424	1	1	0
330804215	3	3	0
330610496	4	4	0
330006206	18	9	9
329885860	10	6	4
329843098	4	4	0
329820763	4	4	0
329558289	1	1	0
329409201	4	4	0
329406890	4	4	0
329377425	7	5	2
329287667	11	7	4
328975131	9	5	4
328591156	8	6	2
328260039	4	4	0
328249089	6	5	1
328064913	4	4	0
327937019	4	4	0
327746065	19	9	10
327635264	12	7	5
327252292	4	4	0
327011341	1	1	0
327002884	6	3	3
326819281	3	3	0
326738076	4	4	0
326517385	7	5	2
326447160	4	4	0
326384045	4	4	0
325878326	1	1	0
325789777	4	4	0
325587977	6	5	1
325419300	4	4	0
325320017	23	12	11
325124131	3	3	0
325081241	1	1	0
324916979	7	5	2
324849918	9	6	3
324793666	6	5	1
324715704	7	5	2
324676434	4	4	0
324502767	3	3	0
324187628	1	1	0
324046376	10	7	3
323856145	5	4	1
323708821	6	5	1
323666578	4	4	0
323215848	9	6	3
